PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P380
Station name, OITCampus_OR2005
Begin Date, 2005-04-02
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P380.cwu.nam14.pos
Offset from source file, 34.14 mm North, -11.84 mm East, -7.69 mm Vertical
Reference position, 42.2596703428 North Latitude, -121.7796981421 East Longitude, 1390.82462 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-06-13,2.15, 0.56, 3.45, 2.21, 1.62, 7.36, repro,
2005-06-14,-0.10, -2.29, 0.86, 2.2, 1.62, 7.39, repro,
2005-06-15,2.00, 0.50, 3.32, 2.17, 1.59, 7.29, repro,
2005-06-16,0.27, 0.84, -0.75, 2.25, 1.59, 7.32, repro,
2005-06-17,-0.48, -0.18, 9.02, 2.24, 1.59, 7.29, repro,
2005-06-18,0.24, 0.84, 4.05, 2.14, 1.57, 7.15, repro,
2005-06-19,1.21, 0.77, -1.55, 2.15, 1.57, 7.16, repro,
2005-06-20,2.50, 0.61, -2.72, 2.16, 1.58, 7.23, repro,
2005-06-21,0.54, 0.01, -2.25, 2.18, 1.58, 7.24, repro,
2005-06-22,1.78, 1.20, -7.66, 2.16, 1.56, 7.13, repro,
2005-06-23,0.91, 0.13, 3.17, 2.15, 1.56, 7.17, repro,
2005-06-24,1.40, 1.10, -0.12, 2.13, 1.57, 7.08, repro,
2005-06-25,1.70, 0.04, 5.79, 2.17, 1.57, 7.22, repro,
2005-06-26,1.95, 1.70, -0.12, 2.24, 1.61, 7.41, repro,
2005-06-27,3.46, 1.22, 2.26, 2.23, 1.6, 7.31, repro,
2005-06-28,2.18, -0.28, 4.95, 2.15, 1.57, 7.11, repro,
2005-06-29,2.39, 1.71, 0.37, 2.14, 1.56, 7.13, repro,
2005-06-30,3.64, 1.25, 2.95, 2.2, 1.66, 7.48, repro,
2005-07-01,2.98, 0.82, 3.97, 2.16, 1.58, 7.23, repro,
2005-07-02,1.01, 2.25, 1.94, 2.18, 1.57, 7.2, repro,
2005-07-03,1.39, 1.08, 2.06, 2.15, 1.56, 7.11, repro,
2005-07-04,1.80, 1.23, -0.68, 2.14, 1.57, 7.15, repro,
2005-07-05,2.30, 2.02, 0.07, 2.13, 1.58, 7.15, repro,
2005-07-06,1.31, 1.82, 0.34, 2.24, 1.64, 7.41, repro,
2005-07-07,0.60, 0.81, -0.41, 2.24, 1.61, 7.32, repro,
2005-07-08,1.25, 0.16, 10.37, 2.15, 1.57, 7.16, repro,
2005-07-09,1.50, 0.05, -4.09, 2.16, 1.57, 7.17, repro,
2005-07-10,2.27, 2.27, 3.91, 2.25, 1.67, 7.56, repro,
2005-07-11,0.61, 0.39, 2.56, 2.13, 1.58, 7.14, repro,
2005-07-12,1.71, 0.34, 0.95, 2.27, 1.69, 7.46, repro,
2005-07-13,3.03, 0.35, -2.19, 2.15, 1.57, 7.17, repro,
2005-07-14,1.97, 2.12, 5.61, 2.19, 1.6, 7.28, repro,
2005-07-15,2.06, 1.95, 5.33, 2.15, 1.58, 7.21, repro,
2005-07-16,1.23, 1.94, 5.68, 2.14, 1.58, 7.17, repro,
2005-07-17,2.57, 2.69, -0.80, 2.14, 1.58, 7.14, repro,
2005-07-18,1.17, 2.52, 11.83, 2.17, 1.58, 7.2, repro,
2005-07-19,3.17, 1.46, 3.09, 2.17, 1.57, 7.23, repro,
2005-07-20,0.36, 1.00, -1.40, 2.16, 1.57, 7.18, repro,
2005-07-21,2.64, 1.73, -0.51, 2.14, 1.57, 7.16, repro,
2005-07-22,2.30, 1.32, 2.45, 2.15, 1.59, 7.27, repro,
2005-07-23,2.74, 2.17, 2.70, 2.16, 1.58, 7.22, repro,
2005-07-24,1.73, 3.11, -0.63, 2.2, 1.61, 7.39, repro,
2005-07-25,1.25, 1.95, 2.01, 2.19, 1.6, 7.35, repro,
2005-07-26,2.32, 1.42, 4.90, 2.2, 1.66, 7.47, repro,
2005-07-27,2.48, 2.32, 5.40, 2.22, 1.68, 7.5, repro,
2005-07-28,3.36, 0.45, 6.39, 2.23, 1.67, 7.49, repro,
2005-07-29,2.11, 1.58, 1.93, 2.28, 1.66, 7.63, repro,
2005-07-30,0.82, 2.88, 3.71, 2.25, 1.7, 7.81, repro,
2005-07-31,2.94, 2.17, 3.47, 2.21, 1.61, 7.43, repro,
2005-08-01,0.83, 1.90, 10.05, 2.24, 1.69, 7.59, repro,
2005-08-02,1.87, 2.03, 6.23, 2.19, 1.62, 7.38, repro,
2005-08-03,1.65, 2.11, 5.99, 2.16, 1.58, 7.21, repro,
2005-08-04,1.82, 1.29, -0.37, 2.17, 1.57, 7.19, repro,
2005-08-05,2.10, 2.18, -1.44, 2.16, 1.57, 7.2, repro,
2005-08-06,1.27, 1.36, 11.86, 2.2, 1.63, 7.37, repro,
2005-08-07,2.65, 2.54, 2.49, 2.17, 1.58, 7.22, repro,
2005-08-08,2.01, 4.29, 4.81, 2.16, 1.59, 7.24, repro,
2005-08-09,4.09, 4.42, 9.37, 2.18, 1.58, 7.19, repro,
2005-08-10,2.86, 4.66, 0.20, 2.24, 1.61, 7.38, repro,
2005-08-11,3.16, 2.78, 3.98, 2.24, 1.69, 7.53, repro,
2005-08-12,2.42, 2.31, 3.49, 2.25, 1.69, 7.55, repro,
2005-08-13,3.50, 2.72, -0.21, 2.16, 1.59, 7.22, repro,
2005-08-14,2.89, 2.01, 8.05, 2.25, 1.7, 7.51, repro,
2005-08-15,2.65, 1.31, 5.46, 2.26, 1.69, 7.49, repro,
2005-08-16,3.90, 2.41, 1.80, 2.2, 1.62, 7.21, repro,
2005-08-17,2.98, 2.10, 5.09, 2.21, 1.63, 7.36, repro,
2005-08-18,3.55, 2.10, 5.48, 2.17, 1.59, 7.26, repro,
2005-08-19,2.63, 2.72, 4.87, 2.18, 1.59, 7.28, repro,
2005-08-20,3.23, 2.75, 9.48, 2.28, 1.62, 7.45, repro,
2005-08-21,3.65, 3.41, 5.21, 2.2, 1.58, 7.28, repro,
2005-08-22,3.43, 2.28, 1.18, 2.19, 1.63, 7.45, repro,
2005-08-23,2.13, 3.13, 9.71, 2.18, 1.59, 7.3, repro,
2005-08-24,2.44, 2.69, 7.48, 2.21, 1.63, 7.4, repro,
2005-08-25,2.66, 1.60, 4.79, 2.21, 1.62, 7.35, repro,
2005-08-26,2.61, 2.45, 10.06, 2.18, 1.57, 7.21, repro,
2005-08-27,4.13, 3.15, 4.76, 2.29, 1.64, 7.4, repro,
2005-08-28,3.44, 2.53, 5.22, 2.16, 1.58, 7.18, repro,
2005-08-29,2.84, 4.57, 19.49, 2.23, 1.64, 7.41, repro,
2005-08-30,2.61, 1.89, 5.31, 2.19, 1.62, 7.31, repro,
2005-08-31,3.21, 3.75, 3.90, 2.21, 1.62, 7.34, repro,
2005-09-01,3.31, 3.42, 8.89, 2.17, 1.57, 7.19, repro,
2005-09-02,5.29, 2.15, 3.77, 2.25, 1.66, 7.67, repro,
2005-09-03,2.81, 2.06, 3.99, 2.17, 1.57, 7.17, repro,
2005-09-04,4.73, 3.50, -2.30, 2.22, 1.63, 7.36, repro,
2005-09-05,2.20, 2.59, 3.48, 2.15, 1.57, 7.15, repro,
2005-09-06,3.26, 2.76, 4.93, 2.27, 1.7, 7.63, repro,
2005-09-07,3.41, 3.30, 0.75, 2.23, 1.58, 7.26, repro,
2005-09-08,3.42, 3.24, 2.91, 2.28, 1.63, 7.46, repro,
2005-09-09,1.19, 2.62, 13.31, 2.24, 1.58, 7.3, repro,
2005-09-10,3.43, 3.56, 5.23, 2.23, 1.57, 7.26, repro,
2005-09-11,4.73, 2.74, 2.85, 2.24, 1.6, 7.35, repro,
2005-09-12,4.03, 3.61, 0.46, 2.22, 1.58, 7.26, repro,
2005-09-13,3.99, 2.84, 10.12, 2.33, 1.67, 7.6, repro,
2005-09-14,4.96, 3.55, 4.51, 2.27, 1.63, 7.46, repro,
2005-09-15,3.51, 2.42, 6.56, 2.29, 1.67, 7.66, repro,
2005-09-16,3.64, 2.36, 7.52, 2.26, 1.63, 7.43, repro,
2005-09-17,2.25, 1.26, 2.55, 2.15, 1.57, 7.18, repro,
2005-09-18,4.23, 1.90, 4.02, 2.16, 1.56, 7.18, repro,
2005-09-19,3.75, 2.61, 2.38, 2.23, 1.59, 7.45, repro,
2005-09-20,3.51, 2.42, 1.51, 2.15, 1.56, 7.14, repro,
2005-09-21,4.25, 1.78, 4.38, 2.18, 1.58, 7.27, repro,
2005-09-22,2.83, 3.09, 1.27, 2.17, 1.57, 7.22, repro,
2005-09-23,3.96, 1.14, 0.04, 2.18, 1.63, 7.39, repro,
2005-09-24,5.16, 2.57, -1.70, 2.19, 1.62, 7.34, repro,
2005-09-25,4.08, 2.36, 7.33, 2.24, 1.67, 7.53, repro,
2005-09-26,3.14, 1.97, 11.51, 2.18, 1.59, 7.25, repro,
2005-09-27,2.64, 2.11, 10.99, 2.2, 1.62, 7.38, repro,
2005-09-28,2.29, 1.86, 10.95, 2.24, 1.6, 7.3, repro,
2005-09-29,3.15, 1.50, 9.86, 2.24, 1.6, 7.31, repro,
2005-09-30,4.21, 0.67, 14.79, 2.2, 1.61, 7.32, repro,
2005-10-01,2.46, 1.11, 16.43, 2.16, 1.57, 7.18, repro,
2005-10-02,1.25, 1.66, 4.37, 2.21, 1.6, 7.32, repro,
2005-10-03,2.27, 1.31, 8.88, 2.19, 1.61, 7.3, repro,
2005-10-04,3.05, 1.83, 3.84, 2.23, 1.6, 7.39, repro,
2005-10-05,3.86, 2.00, -0.97, 2.25, 1.63, 7.55, repro,
2005-10-06,3.41, 1.72, 9.37, 2.17, 1.57, 7.17, repro,
2005-10-07,3.63, 4.09, 1.39, 2.19, 1.56, 7.13, repro,
2005-10-08,2.96, 1.58, 12.76, 2.17, 1.57, 7.15, repro,
2005-10-09,3.35, 2.14, 9.96, 2.17, 1.57, 7.15, repro,
2005-10-10,3.60, 1.23, 9.47, 2.16, 1.57, 7.17, repro,
